Date,BlockShape,Color,Region,QuantitySold,Revenue
2025-03-16,T,Red,South,6.0,840.0
2025-01-12,I,Purple,East,7.0,651.0
2025-02-05,I,Purple,North,11.0,1507.0
2025-03-03,T,Red,East,11.0,1518.0
2025-02-14,T,Red,North,8.0,800.0
2025-02-21,Z,Green,West,17.0,1496.0
2025-02-19,O,Yellow,East,5.0,485.0
2025-03-10,Z,Green,North,9.0,1044.0
2025-03-21,Z,Green,North,6.0,684.0
2025-01-12,O,Yellow,South,12.0,1284.0
2025-03-01,T,Red,South,19.0,2318.0
2025-02-09,L,Blue,East,8.0,816.0
2025-03-03,L,Blue,East,7.0,602.0
2025-01-26,L,Blue,West,8.0,1088.0
2025-01-13,T,Red,North,14.0,1596.0
2025-02-10,Z,Green,North,18.0,1728.0
2025-02-05,O,Yellow,West,8.0,736.0
2025-02-24,T,Red,South,18.0,1566.0
2025-03-05,Z,Green,East,8.0,1200.0
2025-01-28,Z,Green,North,16.0,1664.0
2025-03-24,L,Blue,North,2.0,162.0
2025-02-21,L,Blue,West,6.0,666.0
2025-03-15,Z,Green,South,8.0,1160.0
2025-02-22,Z,Green,South,14.0,1372.0
2025-01-10,O,Yellow,South,18.0,1548.0
2025-03-09,T,Red,West,18.0,2214.0
2025-01-22,I,Purple,West,14.0,1162.0
2025-02-09,I,Purple,South,19.0,2717.0
2025-01-14,Z,Green,North,9.0,1296.0
2025-03-07,L,Blue,West,13.0,1794.0
2025-03-26,Z,Green,South,6.0,720.0
2025-01-24,L,Blue,North,18.0,1656.0
2025-01-02,Z,Green,West,4.0,412.0
2025-01-20,I,Purple,North,9.0,936.0
2025-01-31,I,Purple,East,15.0,2145.0
2025-01-13,I,Purple,South,10.0,1090.0
2025-02-15,O,Yellow,East,15.0,1320.0
2025-02-28,T,Red,West,2.0,162.0
2025-01-23,L,Blue,North,10.0,1350.0
2025-01-30,T,Red,West,2.0,248.0
2025-01-02,T,Red,West,19.0,1634.0
2025-01-08,T,Red,North,7.0,602.0
2025-02-03,Z,Green,South,15.0,1575.0
2025-01-15,Z,Green,West,15.0,1665.0
2025-03-22,Z,Green,West,20.0,2160.0
2025-02-16,T,Red,West,13.0,1378.0
2025-01-13,O,Yellow,East,4.0,512.0
2025-01-19,L,Blue,South,7.0,917.0
2025-03-16,I,Purple,North,10.0,1060.0
2025-01-06,O,Yellow,West,13.0,1378.0
2025-01-17,I,Purple,West,18.0,1962.0
2025-03-11,L,Blue,East,8.0,1176.0
2025-01-24,L,Blue,North,9.0,810.0
2025-01-21,T,Red,East,5.0,740.0
2025-02-10,O,Yellow,East,12.0,1380.0
2025-01-02,T,Red,West,4.0,484.0
2025-02-24,Z,Green,West,10.0,1150.0
2025-03-03,L,Blue,West,17.0,1972.0
2025-01-07,O,Yellow,West,8.0,856.0
2025-02-15,T,Red,North,14.0,1848.0
2025-02-01,L,Blue,North,19.0,1729.0
2025-02-11,L,Blue,North,12.0,1632.0
2025-03-15,T,Red,West,12.0,1260.0
2025-01-08,O,Yellow,East,10.0,960.0
2025-03-29,L,Blue,South,19.0,2603.0
2025-02-18,Z,Green,East,1.0,89.0
2025-01-29,I,Purple,East,10.0,840.0
2025-01-16,T,Red,West,1.0,120.0
2025-02-21,I,Purple,West,18.0,1980.0
2025-01-03,T,Red,East,15.0,1650.0
2025-03-23,L,Blue,West,7.0,812.0
2025-02-07,L,Blue,East,13.0,1482.0
2025-01-17,I,Purple,East,17.0,2431.0
2025-03-07,T,Red,East,12.0,1272.0
2025-03-25,I,Purple,East,19.0,2451.0
2025-03-27,O,Yellow,South,18.0,1548.0
2025-02-03,T,Red,West,3.0,369.0
2025-02-26,I,Purple,South,1.0,95.0
2025-02-24,T,Red,North,15.0,1290.0
2025-03-29,I,Purple,East,12.0,1572.0
2025-01-26,I,Purple,North,17.0,1802.0
2025-02-05,I,Purple,North,2.0,278.0
2025-03-10,O,Yellow,North,4.0,368.0
2025-03-30,O,Yellow,East,14.0,1358.0
2020-01-01,T,Red,West,0.0,2.0
2020-01-01,T,Red,North,0.0,4.0
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,T,Red,South,0.0,0.82
2020-01-01,T,Red,North,0.0,8.76
2020-01-01,T,Red,South,0.0,1.08
2020-01-01,L,Blue,South,0.0,2.0
2020-01-01,I,Purple,South,0.0,6.41
2020-01-01,T,Red,South,0.0,2.33
2020-01-01,I,Purple,North,0.0,1.7
2020-01-01,I,Purple,South,0.0,1.02
2020-01-01,I,Purple,South,0.0,0.68
2020-01-01,I,Purple,South,0.0,0.34
2020-01-01,T,Red,West,0.0,2.0
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,T,Red,West,0.0,1.34
2020-01-01,T,Red,West,0.0,2.16
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,T,Red,South,0.0,3.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,I,Purple,West,0.0,12.72
2020-01-01,T,Red,North,0.0,20.17
2020-01-01,I,Purple,South,0.0,0.1
2020-01-01,T,Red,North,0.0,2.25
2020-01-01,T,Red,West,0.0,0.32
2020-01-01,T,Red,North,0.0,6.0
2020-01-01,I,Purple,South,0.0,1.21
2020-01-01,T,Red,North,1.0,148.91
2020-01-01,I,Purple,North,0.0,0.51
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,I,Purple,West,0.0,0.85
2020-01-01,L,Blue,East,0.0,9.0
2020-01-01,I,Purple,North,0.0,0.08
2020-01-01,I,Purple,North,0.0,0.51
2020-01-01,I,Purple,North,0.0,1.16
2020-01-01,I,Purple,North,0.0,0.34
2020-01-01,T,Red,North,0.0,6.0
2020-01-01,T,Red,North,0.0,2.0
2020-01-01,I,Purple,South,0.0,33.57
2020-01-01,L,Blue,East,0.0,2.0
2020-01-01,L,Blue,South,0.0,9.75
2020-01-01,L,Blue,North,0.0,5.0
2020-01-01,T,Red,East,0.0,2.48
2020-01-01,I,Purple,West,0.0,11.99
2020-01-01,I,Purple,East,0.0,1.0
2020-01-01,L,Blue,North,0.0,2.0
2020-01-01,I,Purple,North,0.0,0.4
2020-01-01,I,Purple,North,0.0,0.17
2020-01-01,T,Red,North,0.0,5.55
2020-01-01,L,Blue,South,0.0,6.0
2020-01-01,T,Red,East,0.0,22.41
2020-01-01,T,Red,South,0.0,6.0
2020-01-01,L,Blue,West,1.0,154.54
2020-01-01,T,Red,West,0.0,1.19
2020-01-01,L,Blue,East,1.0,207.75
2020-01-01,L,Blue,North,0.0,36.5
2020-01-01,L,Blue,West,2.0,273.5
2020-01-01,L,Blue,East,0.0,72.41
2020-01-01,L,Blue,South,1.0,150.0
2020-01-01,L,Blue,South,0.0,25.0
2020-01-01,L,Blue,North,0.0,61.0
2020-01-01,T,Red,West,0.0,3.74
2020-01-01,T,Red,East,0.0,3.41
2020-01-01,T,Red,East,0.0,33.49
2020-01-01,I,Purple,East,0.0,24.95
2020-01-01,I,Purple,South,0.0,22.7
2020-01-01,I,Purple,North,0.0,36.31
2020-01-01,I,Purple,North,0.0,14.07
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,T,Red,West,0.0,1.0
2020-01-01,T,Red,South,0.0,2.0
2020-01-01,I,Purple,North,0.0,3.9
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,I,Purple,East,0.0,2.37
2020-01-01,I,Purple,East,0.0,1.53
2020-01-01,I,Purple,East,0.0,10.6
2020-01-01,T,Red,West,0.0,10.0
2020-01-01,I,Purple,South,0.0,46.66
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,T,Red,West,0.0,3.07
2020-01-01,L,Blue,East,0.0,17.79
2020-01-01,I,Purple,West,0.0,1.0
2020-01-01,L,Blue,South,0.0,2.0
2020-01-01,I,Purple,South,0.0,2.1
2020-01-01,L,Blue,East,0.0,1.24
2020-01-01,L,Blue,South,0.0,1.0
2020-01-01,L,Blue,North,0.0,8.5
2020-01-01,I,Purple,South,0.0,2.0
2020-01-01,I,Purple,North,0.0,8.02
2020-01-01,T,Red,North,0.0,17.53
2020-01-01,T,Red,East,0.0,22.5
2020-01-01,L,Blue,East,0.0,7.25
2020-01-01,T,Red,West,0.0,2.0
2020-01-01,I,Purple,West,0.0,0.16
2020-01-01,I,Purple,North,0.0,0.08
2020-01-01,I,Purple,West,0.0,27.25
2020-01-01,I,Purple,North,0.0,0.17
2020-01-01,I,Purple,North,0.0,0.17
2020-01-01,I,Purple,South,0.0,0.17
2020-01-01,I,Purple,South,0.0,0.0
2020-01-01,T,Red,South,0.0,4.0
2020-01-01,T,Red,South,0.0,3.0
2020-01-01,L,Blue,East,0.0,15.0
2020-01-01,T,Red,North,0.0,2.0
2020-01-01,I,Purple,East,0.0,14.69
2020-01-01,L,Blue,North,0.0,70.28999999999999
2020-01-01,T,Red,West,0.0,0.75
2020-01-01,T,Red,North,0.0,6.0
2020-01-01,T,Red,North,0.0,2.32
2020-01-01,T,Red,North,0.0,0.32
2020-01-01,T,Red,East,0.0,3.1
2020-01-01,T,Red,North,0.0,11.81
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,T,Red,West,0.0,1.0
2020-01-01,I,Purple,West,0.0,3.23
2020-01-01,T,Red,North,0.0,27.32
2020-01-01,T,Red,East,0.0,0.16
2020-01-01,L,Blue,West,0.0,4.0
2020-01-01,I,Purple,North,0.0,1.0
2020-01-01,T,Red,East,0.0,1.25
2020-01-01,I,Purple,East,0.0,0.17
2020-01-01,T,Red,South,0.0,2.16
2020-01-01,T,Red,North,0.0,6.66
2020-01-01,T,Red,North,0.0,7.9399999999999995
2020-01-01,T,Red,North,0.0,10.440000000000001
2020-01-01,I,Purple,West,0.0,2.77
2020-01-01,T,Red,South,0.0,5.82
2020-01-01,I,Purple,North,0.0,0.17
2020-01-01,I,Purple,West,0.0,2.34
2020-01-01,I,Purple,North,0.0,0.34
2020-01-01,I,Purple,West,0.0,0.64
2020-01-01,T,Red,North,0.0,3.0
2020-01-01,T,Red,East,0.0,26.810000000000002
2020-01-01,I,Purple,East,0.0,2.8
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,I,Purple,North,0.0,27.16
2020-01-01,I,Purple,North,0.0,0.68
2020-01-01,I,Purple,North,0.0,0.85
2020-01-01,L,Blue,West,1.0,195.0
2020-01-01,L,Blue,East,0.0,45.0
2020-01-01,L,Blue,South,0.0,6.0
2020-01-01,L,Blue,East,0.0,13.0
2020-01-01,L,Blue,North,0.0,27.0
2020-01-01,I,Purple,West,0.0,4.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,I,Purple,West,0.0,8.0
2020-01-01,I,Purple,West,0.0,0.17
2020-01-01,T,Red,East,0.0,15.07
2020-01-01,T,Red,West,0.0,0.08
2020-01-01,L,Blue,North,0.0,3.0
2020-01-01,L,Blue,South,0.0,0.17
2020-01-01,I,Purple,East,0.0,0.2
2020-01-01,I,Purple,West,0.0,0.24
2020-01-01,I,Purple,North,0.0,10.63
2020-01-01,T,Red,West,0.0,6.5600000000000005
2020-01-01,L,Blue,North,0.0,30.0
2020-01-01,T,Red,South,0.0,45.65
2020-01-01,I,Purple,West,0.0,68.3
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,I,Purple,East,0.0,5.89
2020-01-01,L,Blue,West,0.0,17.96
2020-01-01,L,Blue,North,0.0,19.0
2020-01-01,L,Blue,West,0.0,9.0
2020-01-01,L,Blue,South,0.0,4.0
2020-01-01,I,Purple,North,0.0,0.57
2020-01-01,I,Purple,South,0.0,9.43
2020-01-01,I,Purple,West,0.0,2.4
2020-01-01,I,Purple,East,0.0,2.64
2020-01-01,I,Purple,West,0.0,122.97
2020-01-01,I,Purple,South,0.0,125.48
2020-01-01,T,Red,North,0.0,11.06
2020-01-01,I,Purple,West,0.0,2.56
2020-01-01,T,Red,South,0.0,3.42
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,I,Purple,South,0.0,0.08
2020-01-01,I,Purple,South,0.0,16.1
2020-01-01,I,Purple,North,0.0,86.82
2020-01-01,T,Red,East,0.0,32.29
2020-01-01,T,Red,East,0.0,7.0
2020-01-01,I,Purple,West,0.0,26.86
2020-01-01,I,Purple,North,0.0,42.66
2020-01-01,T,Red,East,0.0,3.0
2020-01-01,T,Red,North,0.0,21.08
2020-01-01,T,Red,West,0.0,0.17
2020-01-01,T,Red,East,0.0,13.0
2020-01-01,T,Red,North,0.0,16.56
2020-01-01,I,Purple,North,0.0,0.4
2020-01-01,I,Purple,South,0.0,0.17
2020-01-01,I,Purple,North,0.0,0.67
2020-01-01,I,Purple,South,0.0,1.02
2020-01-01,I,Purple,North,0.0,1.53
2020-01-01,T,Red,East,0.0,3.9699999999999998
2020-01-01,I,Purple,West,0.0,2.0
2020-01-01,I,Purple,West,0.0,0.51
2020-01-01,T,Red,South,0.0,17.69
2020-01-01,I,Purple,North,0.0,0.72
2020-01-01,L,Blue,East,0.0,8.0
2020-01-01,L,Blue,East,0.0,4.0
2020-01-01,L,Blue,East,0.0,5.0
2020-01-01,L,Blue,West,0.0,4.0
2020-01-01,I,Purple,East,0.0,0.17
2020-01-01,I,Purple,South,0.0,0.17
2020-01-01,I,Purple,South,0.0,0.34
2020-01-01,I,Purple,East,0.0,0.68
2020-01-01,I,Purple,West,0.0,4.4
2020-01-01,I,Purple,West,0.0,0.4
2020-01-01,I,Purple,West,0.0,0.51
2020-01-01,I,Purple,South,0.0,2.11
2020-01-01,I,Purple,North,0.0,47.72
2020-01-01,I,Purple,East,0.0,0.0
2020-01-01,I,Purple,West,0.0,0.68
2020-01-01,T,Red,East,0.0,2.0
2020-01-01,T,Red,West,0.0,0.25
2020-01-01,I,Purple,West,0.0,1.52
2020-01-01,T,Red,East,0.0,5.06
2020-01-01,I,Purple,South,0.0,0.49
2020-01-01,I,Purple,North,0.0,0.34
2020-01-01,I,Purple,South,0.0,0.68
2020-01-01,I,Purple,South,0.0,0.5
2020-01-01,I,Purple,West,0.0,0.08
2020-01-01,I,Purple,East,0.0,0.32
2020-01-01,I,Purple,West,0.0,0.84
2020-01-01,T,Red,East,0.0,3.41
2020-01-01,I,Purple,East,0.0,6.59
2020-01-01,I,Purple,East,0.0,4.37
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,I,Purple,South,0.0,1.35
2020-01-01,T,Red,South,0.0,8.49
2020-01-01,L,Blue,South,0.0,6.0
2020-01-01,I,Purple,South,0.0,5.71
2020-01-01,I,Purple,North,0.0,0.8
2020-01-01,T,Red,West,0.0,3.67
2020-01-01,I,Purple,West,0.0,25.15
2020-01-01,T,Red,West,0.0,3.0
2020-01-01,T,Red,West,0.0,1.0
2020-01-01,L,Blue,West,0.0,35.25
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,L,Blue,South,0.0,16.36
2020-01-01,L,Blue,West,0.0,13.0
2020-01-01,I,Purple,East,0.0,5.07
2020-01-01,L,Blue,South,0.0,28.0
2020-01-01,I,Purple,West,0.0,30.43
2020-01-01,I,Purple,North,0.0,14.0
2020-01-01,L,Blue,West,0.0,2.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,North,0.0,2.23
2020-01-01,T,Red,West,0.0,2.27
2020-01-01,T,Red,North,0.0,2.0
2020-01-01,L,Blue,East,0.0,1.0
2020-01-01,L,Blue,West,0.0,1.0
2020-01-01,I,Purple,North,0.0,0.08
2020-01-01,I,Purple,West,1.0,136.61
2020-01-01,I,Purple,North,0.0,43.65
2020-01-01,I,Purple,East,0.0,27.08
2020-01-01,I,Purple,North,0.0,17.84
2020-01-01,I,Purple,South,0.0,80.11
2020-01-01,I,Purple,West,0.0,129.97
2020-01-01,I,Purple,East,1.0,136.13
2020-01-01,I,Purple,South,0.0,14.0
2020-01-01,I,Purple,South,0.0,7.4
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,I,Purple,West,0.0,2.0
2020-01-01,T,Red,North,0.0,4.74
2020-01-01,I,Purple,South,0.0,15.3
2020-01-01,I,Purple,West,0.0,44.28
2020-01-01,I,Purple,West,0.0,2.74
2020-01-01,I,Purple,North,0.0,6.42
2020-01-01,T,Red,South,0.0,18.27
2020-01-01,I,Purple,East,0.0,32.629999999999995
2020-01-01,I,Purple,South,0.0,19.34
2020-01-01,I,Purple,South,0.0,46.39
2020-01-01,T,Red,North,0.0,7.779999999999999
2020-01-01,I,Purple,North,0.0,46.85
2020-01-01,L,Blue,West,0.0,0.0
2020-01-01,L,Blue,South,0.0,6.0
2020-01-01,T,Red,North,0.0,0.41
2020-01-01,I,Purple,South,0.0,43.84
2020-01-01,L,Blue,East,0.0,2.0
2020-01-01,I,Purple,South,0.0,41.81
2020-01-01,I,Purple,South,0.0,9.0
2020-01-01,L,Blue,West,0.0,5.0
2020-01-01,T,Red,West,0.0,2.0
2020-01-01,I,Purple,West,0.0,5.0
2020-01-01,T,Red,East,0.0,2.0
2020-01-01,T,Red,South,0.0,3.08
2020-01-01,I,Purple,South,0.0,23.04
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,T,Red,South,0.0,6.0
2020-01-01,I,Purple,West,0.0,0.75
2020-01-01,T,Red,West,0.0,1.0
2020-01-01,T,Red,North,0.0,0.33
2020-01-01,T,Red,North,0.0,2.0
2020-01-01,I,Purple,East,0.0,1.0
2020-01-01,I,Purple,South,0.0,4.0
2020-01-01,T,Red,East,0.0,2.0
2020-01-01,I,Purple,East,0.0,25.4
2020-01-01,T,Red,South,0.0,2.0
2020-01-01,T,Red,North,0.0,3.0
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,I,Purple,West,0.0,17.85
2020-01-01,T,Red,North,0.0,0.08
2020-01-01,T,Red,East,0.0,0.08
2020-01-01,T,Red,South,0.0,0.08
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,I,Purple,East,0.0,1.0
2020-01-01,L,Blue,North,2.0,308.75
2020-01-01,L,Blue,East,0.0,40.0
2020-01-01,T,Red,North,0.0,3.0
2020-01-01,I,Purple,North,0.0,1.0
2020-01-01,T,Red,West,0.0,2.0
2020-01-01,I,Purple,North,0.0,21.28
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,L,Blue,North,0.0,3.0
2020-01-01,T,Red,South,0.0,20.87
2020-01-01,L,Blue,South,0.0,1.0
2020-01-01,T,Red,West,0.0,1.0
2020-01-01,L,Blue,North,0.0,1.0
2020-01-01,T,Red,South,0.0,0.5
2020-01-01,I,Purple,East,0.0,21.79
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,L,Blue,West,1.0,237.54000000000002
2020-01-01,T,Red,South,0.0,2.0
2020-01-01,I,Purple,East,0.0,25.29
2020-01-01,I,Purple,East,0.0,2.81
2020-01-01,I,Purple,West,0.0,14.719999999999999
2020-01-01,L,Blue,East,0.0,25.75
2020-01-01,T,Red,West,0.0,0.34
2020-01-01,I,Purple,West,0.0,0.0
2020-01-01,L,Blue,South,0.0,0.21
2020-01-01,I,Purple,North,0.0,62.69
2020-01-01,L,Blue,South,0.0,1.0
2020-01-01,T,Red,West,0.0,6.32
2020-01-01,L,Blue,West,2.0,272.2
2020-01-01,L,Blue,South,0.0,1.0
2020-01-01,L,Blue,North,0.0,106.5
2020-01-01,T,Red,West,0.0,134.88
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,T,Red,East,0.0,3.0
2020-01-01,T,Red,West,0.0,9.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,East,0.0,1.99
2020-01-01,T,Red,North,0.0,2.0
2020-01-01,T,Red,South,0.0,10.41
2020-01-01,T,Red,West,0.0,4.57
2020-01-01,T,Red,East,0.0,29.86
2020-01-01,I,Purple,North,0.0,1.35
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,East,0.0,0.08
2020-01-01,I,Purple,East,0.0,8.5
2020-01-01,T,Red,East,0.0,13.18
2020-01-01,T,Red,West,0.0,1.0
2020-01-01,I,Purple,South,0.0,14.69
2020-01-01,T,Red,North,0.0,2.0
2020-01-01,T,Red,North,0.0,19.48
2020-01-01,T,Red,South,0.0,1.8199999999999998
2020-01-01,T,Red,West,0.0,1.0
2020-01-01,T,Red,East,0.0,4.0
2020-01-01,I,Purple,West,0.0,1.4
2020-01-01,T,Red,South,0.0,0.9
2020-01-01,T,Red,North,0.0,10.38
2020-01-01,T,Red,East,0.0,2.49
2020-01-01,I,Purple,North,0.0,2.4699999999999998
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,T,Red,South,0.0,0.08
2020-01-01,T,Red,North,0.0,0.24
2020-01-01,T,Red,North,0.0,4.17
2020-01-01,T,Red,East,0.0,3.32
2020-01-01,T,Red,South,0.0,0.65
2020-01-01,T,Red,West,0.0,1.32
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,South,0.0,0.57
2020-01-01,T,Red,South,0.0,0.32
2020-01-01,T,Red,East,0.0,1.32
2020-01-01,T,Red,South,0.0,2.17
2020-01-01,T,Red,East,0.0,4.16
2020-01-01,T,Red,East,0.0,2.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,North,0.0,1.0
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,T,Red,East,0.0,2.0
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,T,Red,West,0.0,32.79
2020-01-01,T,Red,South,0.0,1.0
2020-01-01,T,Red,West,0.0,28.33
2020-01-01,I,Purple,North,0.0,0.4
2020-01-01,T,Red,West,0.0,9.620000000000001
2020-01-01,T,Red,North,0.0,2.0
2020-01-01,T,Red,West,0.0,18.57
2020-01-01,T,Red,South,0.0,1.79
2020-01-01,T,Red,West,0.0,2.32
2020-01-01,T,Red,East,0.0,1.0
2020-01-01,T,Red,South,0.0,15.5
2020-01-01,T,Red,North,0.0,2.25
2020-01-01,T,Red,North,0.0,3.98
2020-01-01,T,Red,West,0.0,29.06
2020-01-01,L,Blue,West,0.0,15.83
2020-01-01,T,Red,East,0.0,5.47
2020-01-01,I,Purple,West,0.0,0.51
2020-01-01,T,Red,West,0.0,2.0
2020-01-01,T,Red,East,0.0,0.17
2020-01-01,T,Red,West,0.0,0.32
